date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:41	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9da35bb14d64aab6;gz%22	https://privacy-melmaia.sbs/robots.txt		(from )
20:43:41	54213/54213	---M-Z	200	added ('OK')	text/html	etag:%22d3c5-68f6a643-a77255467555cada;gz%22	https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/index07b6.html	(from )
20:43:42	33248/33248	---M-Z	200	added ('OK')	application/x-javascript	etag:%2281e0-68f67362-ef65dc6a6309c694;gz%22	https://privacy-melmaia.sbs/js/pixel.js	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/js/pixel.js	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:42	12432/12432	---M-Z	200	added ('OK')	application/x-javascript	etag:%223090-68f67362-1b8225588e7c1236;gz%22	https://privacy-melmaia.sbs/js/latest_1.js	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/js/latest_1.js	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:43	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9da35bb14d64aab6;gz%22	https://privacy-melmaia.sbs/connect.facebook.net/en_US/fbevents.html	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/connect.facebook.net/en_US/fbevents.html	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:43	14032/14032	---M-Z	200	added ('OK')	application/x-javascript	etag:%2236d0-68f67362-211083ecda325ad;gz%22	https://privacy-melmaia.sbs/js/latest.js	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/js/latest.js	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:43	10761/10761	---M--	200	added ('OK')	image/png	etag:%222a09-68f67362-66f32dba6afdd192;;;%22	https://privacy-melmaia.sbs/images/219-images-favicon.png	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/images/219-images-favicon.png	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:44	54991/54991	---M-Z	200	added ('OK')	text/html	etag:%22d6cf-68f67362-a38a9f888c5f9bb4;gz%22	https://privacy-melmaia.sbs/5022-images-favicon.html	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/5022-images-favicon.html	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:44	54991/54991	---M-Z	200	added ('OK')	text/html	etag:%22d6cf-68f67363-8ce189796b4e7f24;gz%22	https://privacy-melmaia.sbs/2402-images-favicon.html	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/2402-images-favicon.html	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:45	4506/4506	---M--	200	added ('OK')	image/webp	etag:%22119a-68f67362-e62ca63f87cb4bd9;;;%22	https://privacy-melmaia.sbs/images/images-logo.webp	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/images/images-logo.webp	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
